type,epa_id,facility_name,street,city,state,zip_code,notes,lon,lat,addresses,geoAddress,site_phone,corporatephone,URL,2URL
MSW Combustors, ,Lee County Resource Recovery Facility ,10500 Buckingham Rd.,Ft. Myers,FL,33905,,-81.7632015,26.6274436,"10500 Buckingham Rd., Ft. Myers, FL 33905","10500 buckingham rd, fort myers, fl 33905, usa",NA,(239) 533-8000,https://www.leegov.com/solidwaste/facilities/rrf,https://www.covanta.com/Our-Facilities/Covanta-Lee
MSW Combustors, ,McKay Bay Refuse to Energy Facility,107 North 34th St.,Tampa,FL,33605,,-82.4214412,27.9493496,"107 North 34th St., Tampa, FL 33605","107 n 34th st, tampa, fl 33605, usa",(813) 248-1457,(813) 348-1146,"https://www.tampagov.net/solid-waste/info/mckay-bay#:~:text=The%20McKay%20Bay%20Refuse%2DTo,that%20citizens%20generate%20each%20year.",
MSW Combustors, ,Miami-Dade County Resource Recovery Facility ,6990 NW 97th Ave,Miami,FL,33178,,-80.3556666,25.8352832,"6990 NW 97th Ave, Mmiami, FL 33178","6990 nw 97th ave, doral, fl 33178, usa",(305) 593-7000,(305) 514-6666,https://www.miamidade.gov/global/service.page?Mduid_service=ser150282068351856,https://www.covanta.com/Our-Facilities/Covanta-Dade
MSW Combustors, ,Palm Beach Renewable Energy Facility 1,16255 North Jog Rd.,West Palm Beach,FL,33413,,-80.1457384,26.6910889,"16255 North Jog Rd., West Palm Beach, FL 33413","n jog rd, west palm beach, fl 33413, usa",NA,(561) 640-4000,https://www.swa.org/Facilities/Facility/Details/Renewable-Energy-Facility-1-9,https://www.covanta.com/Our-Facilities/Covanta%20Palm%20Beach/Covanta-Palm-Beach-1
MSW Combustors, ,Palm Beach Renewable Energy Facility 2,6751 North Jog Rd.,West Palm Beach,FL,33412,,-80.1404879,26.7757546,"6751 North Jog Rd., West Palm Beach, FL 33412","6751 n jog rd, west palm beach, fl 33412, usa",NA,(561) 640-4000,https://www.swa.org/Facilities/Facility/Details/Renewable-Energy-Facility-2-11,https://www.covanta.com/Our-Facilities/Covanta%20Palm%20Beach/Covanta-Palm-Beach-2
MSW Combustors, ,Pasco County Solid Waste Resource Recovery Facility ,14230 Hays Road,Spring Hill,FL,34610,,-82.560015,28.3692413,"14230 Hays Road, Spring Hill, FL 34610","14230 hays rd, spring hill, fl 34610, usa",(727) 861-3053,NA,https://www.pascocountyfl.net/188/West-Pasco-Facilities,https://www.covanta.com/Our-Facilities/Covanta-Pasco
MSW Combustors, ,Pinellas County Resource Recovery Facility,"3001 110th Ave, North",St. Petersburg,FL,33716,,-82.6766965,27.8754286,"3001 110th Ave, North, St. Petersburg, FL 33716","3001 110th ave n, st. petersburg, fl 33716, usa",(727) 564-5000,(727) 464-7500, www.pinellascounty.org/solidwaste/wte.htm,https://www.covanta.com/Our-Facilities/Covanta-Pinellas
MSW Combustors, ,Wheelabrator South Broward Inc. ,107 South State Road 7,Ft. Lauderdale,FL,33314,,-80.2022631,26.1190191,"107 South State Road 7, Ft. Lauderdale, FL 33314","107 s state rd 7, plantation, fl 33317, usa",(954) 581-6606,(603) 929-3000,https://www.wtienergy.com/plant-locations/energy-from-waste/wheelabrator-south-broward,
MSW Combustors, ,Honolulu Resource Recovery Venture - Hpower,91-174 Hanua Street,Kapolei,HI,96707,,-158.103516,21.305157,"91-174 Hanua Street, Kapolei, HI 96707","91-174 hanua st, kapolei, hi 96707, usa",(808) 682-1359,(800) 950-8749,https://www.covanta.com/Our-Facilities/Covanta-Honolulu,
MSW Combustors, ,Indianapolis Resource Recovery Facility,2320 South harding Street,Indianapolis,IN,46221,,-86.1885256,39.7344215,"2320 South harding Street, Indianapolis, IN 46221","2320 s harding st, indianapolis, in 46221, usa",(317) 378-8700,(800) 950-8749,https://www.covanta.com/Our-Facilities/Covanta-Indianapolis,
MSW Combustors, ,Arnold O. Chantland Resource Recovery Plant,110 Center Ave.,Ames,IA,50010,,-93.606054,42.0233756,"110 Center Ave., Ames, IA 50010","110 center ave, ames, ia 50010, usa",(515) 239-5137,NA,https://www.cityofames.org/government/departments-divisions-i-z/resource-recovery-system,
MSW Combustors, ,Mid-Maine Waste Action Corporation,110 Goldthwaite Rd.Auburn,,ME,4211,,-70.2610585,44.0677952,"110 Goldthwaite Rd.Auburn, , ME 4211","110 goldthwaite rd, auburn, me 04210, usa",(207) 783-8805,NA,https://www.mainewastenergy.com/,
MSW Combustors, ,ecomaine,64 Blueberry Rd.,Portland,ME,4102,,-70.3341109,43.6532595,"64 Blueberry Rd., Portland, ME 4102","64 blueberry rd, portland, me 04102, usa",(207) 773-1738,NA,www.ecomaine.org,
MSW Combustors, ,Penobscot Energy Recovery Company,29 Industrial Way,"Orrington, ",ME,4474,,-68.8228544,44.7382688,"29 Industrial Way, Orrington, , ME 4474","29 industrial way, orrington, me 04474, usa",(207) 825-4566,NA,www.percwte.com,
MSW Combustors, ,Montgomery County Resource Recovery Facility,21204 Martinsburg Road,Dickerson ,MD,20842,,-77.45544,39.201284,"21204 Martinsburg Road, Dickerson , MD 20842","21204 martinsburg rd, dickerson, md 20842, usa",(301) 691-9000,(410) 333-2730,www.nmwda.org,https://www.covanta.com/Our-Facilities/Covanta-Montgomery
MSW Combustors, ,Wheelabrator Baltimore,1801 Annapolis Rd.Baltimore,,MD,21230,,-76.6293578,39.270207,"1801 Annapolis Rd.Baltimore, , MD 21230","1801 annapolis rd, baltimore, md 21230, usa",(410) 234-0808,(603) 929-3000,https://www.wtienergy.com/plant-locations/energy-from-waste/wheelabrator-baltimore,
MSW Combustors, ,Haverhill Resource Recovery Facility,100 Recovery Way,Haverhill,MA,1385,,-71.1245422,42.7658042,"100 Recovery Way, Haverhill, MA 1385","100 recovery way, haverhill, ma 01835, usa",(978) 372-6288,(800) 950-8749,https://www.covanta.com/Our-Facilities/Covanta-Haverhill,
MSW Combustors, ,SEMASS Resource Recovery Facility,141 Cranberry Highway,West Wareham,MA,2576,,-70.7881867,41.8036658,"141 Cranberry Highway, West Wareham, MA 2576","141 cranberry hwy, west wareham, ma 02576, usa",(508) 291-4400,(800) 950-8749,https://www.covanta.com/Our-Facilities/Covanta-SEMASS,
MSW Combustors, ,Wheelabrator Millbury ,331 Southwest Cutoff Rd.,Milbury,MA,1527,,-71.7654571,42.2214431,"331 Southwest Cutoff Rd., Milbury, MA 1527","331 sw cutoff, millbury, ma 01527, usa",(508) 791-8900,(603) 929-3000,https://www.wtienergy.com/plant-locations/energy-from-waste/wheelabrator-millbury,
MSW Combustors, ,Community Eco Power,500 Hubbard Ave,Pittsfield,MA,1201,,-73.1942072,42.4681956,"500 Hubbard Ave, Pittsfield, MA 1201","500 hubbard ave, pittsfield, ma 01201, usa",(413) 443-7373,NA,https://cecopower.com/facilities/pittsfield-plant/,
MSW Combustors, ,Wheelabrator North Andover,285 Holt Rd.,North Andover,MA,1845,,-71.1219932,42.7262781,"285 Holt Rd., North Andover, MA 1845","285 holt rd, north andover, ma 01845, usa",(978) 688-9011,(603) 929-3000,https://www.wtienergy.com/plant-locations/energy-from-waste/wheelabrator-north-andover,
